SEQN,umap_x,umap_y
109504.0,17.09612,13.395115
109505.0,6.9631834,11.317631
109508.0,15.767125,10.549471
109510.0,17.08675,8.949379
109512.0,16.358011,10.79416
109513.0,15.004537,11.318453
109518.0,16.371641,8.660101
109519.0,15.607591,11.812695
109525.0,18.375568,8.122387
109526.0,15.078375,9.742968
109530.0,16.995031,12.194139
109531.0,18.536674,9.371607
109536.0,20.182657,11.192853
109537.0,16.850883,9.954754
109539.0,14.615826,8.162027
109541.0,16.155966,10.202704
109542.0,14.473547,8.302351
109545.0,16.462982,11.08072
109548.0,14.706846,9.220063
109549.0,14.83312,8.641059
109550.0,4.5626616,11.4404
109551.0,4.275471,11.78804
109554.0,19.321783,7.348349
109555.0,16.558002,7.529801
109558.0,19.518272,11.415938
109560.0,16.900879,9.641407
109561.0,16.719728,9.525506
109563.0,14.190996,11.610136
109564.0,15.711104,6.982344
109567.0,17.227844,12.510883
109568.0,14.994861,9.971631
109571.0,14.984754,10.457848
109574.0,17.699394,13.975937
109579.0,17.625816,11.70689
109580.0,17.430542,11.6187525
109581.0,18.024286,12.547259
109585.0,4.523011,10.16641
109590.0,17.84218,10.180821
109592.0,17.318184,13.911828
109593.0,17.378098,12.909776
109598.0,16.219543,8.189558
109601.0,15.985072,9.707885
109602.0,17.149202,11.73825
109606.0,4.3797293,10.75377
109607.0,20.126009,11.462549
109608.0,18.508509,13.810481
109611.0,4.313856,11.769076
109615.0,17.547148,13.892274
109617.0,16.431988,13.828399
109620.0,16.263464,13.698274
109623.0,19.602995,8.516086
109626.0,15.917741,13.395971
109628.0,15.010099,10.935212
109629.0,18.103315,10.466162
109630.0,19.14734,10.98083
109634.0,18.19108,13.16946
109635.0,18.924131,10.38043
109637.0,19.290955,10.451243
109638.0,14.452558,12.145134
109639.0,17.357243,11.103725
109640.0,17.376993,12.77356
109644.0,16.137627,8.086475
109645.0,15.053091,13.778957
109650.0,18.82494,8.058183
109654.0,15.211375,7.309031
109655.0,4.566794,10.984287
109656.0,15.82523,12.600631
109657.0,13.479902,13.776687
109661.0,16.152708,8.019294
109662.0,17.421986,9.734148
109664.0,4.5095797,10.188813
109665.0,16.158472,11.150602
109667.0,17.497301,13.112965
109669.0,4.2217555,11.770815
109673.0,19.043943,9.111747
109675.0,18.437016,12.951875
109676.0,19.672812,11.570411
109678.0,13.364196,11.563303
109679.0,16.554203,9.314746
109683.0,16.948914,8.570053
109685.0,19.577955,9.666645
109686.0,17.65184,13.190557
109687.0,17.042982,11.040544
109691.0,18.928396,7.9039445
109693.0,18.813635,8.269866
109697.0,16.893566,9.811878
109700.0,17.01345,11.068641
109703.0,19.193182,8.932883
109704.0,16.838247,9.321043
109705.0,15.934749,11.030877
109709.0,14.864395,12.320712
109711.0,15.570205,8.235338
109712.0,16.585848,12.653068
109713.0,17.119875,11.471236
109714.0,18.914997,8.77509
109716.0,15.629534,10.088777
109721.0,16.801102,12.508434
109723.0,12.802794,12.442391
109725.0,16.795097,12.0742855
109726.0,15.658513,7.776724
109727.0,19.038132,10.698122
109728.0,14.416393,9.86094
109730.0,14.998384,9.564721
109731.0,19.168053,7.656092
109735.0,17.57987,9.777373
109740.0,18.187973,11.572192
109743.0,15.594281,13.462941
109746.0,15.440896,12.754237
109754.0,17.853632,13.019157
109755.0,19.026834,7.518339
109757.0,15.862835,9.130679
109758.0,19.188871,8.145604
109759.0,19.632025,11.243057
109760.0,17.872137,13.410422
109761.0,12.810754,10.744202
109765.0,19.483187,10.855044
109767.0,16.941196,13.997288
109768.0,13.405614,11.352356
109769.0,17.508543,12.692939
109770.0,16.911259,11.4083185
109782.0,18.157734,13.570229
109783.0,16.290401,13.54904
109785.0,16.687593,12.86965
109786.0,15.962838,8.3301935
109789.0,14.769756,9.798651
109791.0,15.581679,9.208471
109794.0,16.718594,13.245733
109796.0,17.736624,11.66588
109800.0,4.4384522,10.5151005
109802.0,15.720646,8.604615
109803.0,14.672562,13.918525
109805.0,14.682789,10.487678
109806.0,14.1856575,9.47344
109807.0,17.296768,9.263866
109809.0,16.203241,7.2281737
109811.0,4.235883,11.4153
109813.0,18.964157,8.85227
109814.0,19.388351,8.378255
109815.0,15.819671,12.06063
109816.0,18.619122,13.267395
109817.0,19.867403,9.645219
109820.0,15.380294,9.55756
109821.0,15.160835,7.924567
109825.0,15.868194,8.234336
109828.0,17.542355,9.627944
